symbol,unlock_date,category,unlock_amount,total_supply,unlock_pct_supply,open_price,avg_daily_volume_usd,pre7_return,pre_return_-7,pre_return_-6,pre_return_-5,pre_return_-4,pre_return_-3,pre_return_-2,pre_return_-1,return_0,btc_return_0,excess_return_0,return_1,btc_return_1,excess_return_1,return_2,btc_return_2,excess_return_2,return_3,btc_return_3,excess_return_3,return_4,btc_return_4,excess_return_4,return_5,btc_return_5,excess_return_5,return_6,btc_return_6,excess_return_6,return_7,btc_return_7,excess_return_7,return_8,btc_return_8,excess_return_8,return_9,btc_return_9,excess_return_9,return_10,btc_return_10,excess_return_10,return_11,btc_return_11,excess_return_11,return_12,btc_return_12,excess_return_12,return_13,btc_return_13,excess_return_13,return_14,btc_return_14,excess_return_14
ARB,2024-03-16,VC,1110000000,10000000000,11.1,1.8882,240774594.0,-0.115157,-0.017529,-0.030746,-0.023716,-0.054509,-0.008624,-0.055352,-0.115157,-0.069696,-0.026462,-0.043234,-0.080447,-0.085284,0.004837,-0.140345,-0.04196,-0.098386,-0.139551,-0.052935,-0.086616,-0.075416,-0.132395,0.056979,-0.107986,-0.049706,-0.058281,-0.150461,-0.082473,-0.067988,-0.155174,-0.106351,-0.048823,-0.115189,-0.103643,-0.011547,-0.087438,-0.058538,-0.0289,-0.099248,-0.021137,-0.078111,-0.12361,-0.019624,-0.103986,,-0.02688,,,-0.008521,,,-0.02155,
ARB,2024-04-16,VC,92500000,10000000000,0.925,1.1527,104982078.0,-0.265626,-0.054412,-0.065817,-0.096336,-0.252182,-0.342848,-0.248487,-0.265626,0.001128,-0.034143,0.03527,-0.0406,-0.028456,-0.012145,-0.012492,-0.066774,0.054281,-0.028715,-0.03338,0.004664,0.054741,-0.028081,0.082822,0.031838,-0.010984,0.042823,0.049015,-0.010976,0.059991,0.022816,0.017628,0.005188,-0.031665,0.011455,-0.04312,-0.054568,-0.020899,-0.033669,-0.075995,-0.01772,-0.058276,-0.023597,-0.028812,0.005215,,-0.033503,,,-0.038732,,,-0.02735,
ARB,2024-05-16,VC,92500000,10000000000,0.925,0.9936,109519860.0,-0.033651,0.012546,-0.032095,-0.02694,-0.03015,-0.045127,-0.090449,-0.033651,-0.022242,0.075174,-0.097416,0.037238,0.0594,-0.022162,0.024457,0.08845,-0.063993,-0.022142,0.086683,-0.108825,0.134159,0.07627,0.057889,0.211151,0.160272,0.05088,0.148651,0.139188,0.009463,0.210849,0.123245,0.087604,0.165358,0.103807,0.061552,0.199074,0.113231,0.085843,0.201188,0.125258,0.075929,0.238023,0.112544,0.125479,,0.127627,,,0.110769,,,0.098655,
ARB,2024-06-16,VC,92500000,10000000000,0.925,0.9221,49463516.0,-0.047221,0.011883,-0.008163,-0.030998,0.00558,-0.032238,-0.057347,-0.047221,0.002386,0.00279,-0.000404,-0.069624,0.009583,-0.079206,-0.138054,0.00697,-0.145025,-0.118425,-0.013153,-0.105272,-0.130897,-0.016196,-0.114701,-0.130029,-0.017776,-0.112253,-0.12721,-0.028775,-0.098434,-0.149767,-0.026982,-0.122785,-0.110292,-0.04291,-0.067381,-0.100206,-0.087074,-0.013132,-0.119076,-0.064169,-0.054907,-0.107581,-0.078417,-0.029163,,-0.065676,,,-0.085037,,,-0.076575,
OP,2024-01-31,VC,24160000,4294967296,0.5625,3.157,55027495.0,0.119504,0.013121,0.041489,0.088298,0.087943,0.074113,0.123404,0.119504,-0.08109,-0.008351,-0.072739,-0.057333,-0.01669,-0.040643,-0.044979,-0.005075,-0.039904,-0.062084,-0.002372,-0.059712,-0.051631,-0.006734,-0.044897,-0.019005,-0.016623,-0.002382,0.053215,-0.013718,0.066933,0.065252,-0.004705,0.069957,0.04593,0.024176,0.021754,0.095977,0.045862,0.050115,0.066202,0.088449,-0.022246,0.119734,0.102728,0.017006,,0.115403,,,0.152752,,,0.147725,
OP,2024-02-29,VC,24160000,4294967296,0.5625,3.766,116333808.0,0.001063,-0.032687,-0.067765,-0.02498,0.031358,0.01621,-0.015413,0.001063,-0.017525,0.094583,-0.112108,-0.00239,0.071771,-0.074161,0.058948,0.093808,-0.034859,0.058948,0.086784,-0.027836,0.037971,0.106538,-0.068566,0.198619,0.196509,0.00211,0.206851,0.117233,0.089618,0.237653,0.158435,0.079218,0.190653,0.171569,0.019085,0.247212,0.194379,0.052833,0.204727,0.197694,0.007033,0.216941,0.20896,0.007981,,0.2637,,,0.252723,,,0.281133,
OP,2024-05-31,VC,24160000,4294967296,0.5625,2.477,50945291.0,-0.056043,-0.038506,-0.027449,-0.035456,-0.013725,-0.028593,-0.04918,-0.056043,-0.008882,0.010343,-0.019225,-0.000807,-0.001661,0.000854,-0.039564,0.001692,-0.041256,-0.030279,0.001674,-0.031952,0.000404,0.017109,-0.016706,0.018975,0.042651,-0.023676,0.002826,0.051079,-0.048253,-0.086799,0.046512,-0.133311,-0.124748,0.025176,-0.149923,-0.099314,0.024508,-0.123822,-0.117077,0.0295,-0.146577,-0.16956,0.027901,-0.197461,,-0.004999,,,0.00904,,,-0.012999,
APT,2024-01-12,VC,2830000,1000000000,0.283,9.444,49250399.0,-0.08431,-0.065505,-0.122975,-0.178555,-0.146239,-0.197146,-0.138707,-0.08431,-0.045246,-0.006748,-0.038497,0.059297,-0.082978,0.142275,0.024481,-0.08158,0.106061,0.006978,-0.105493,0.112471,-0.000837,-0.088801,0.087964,-0.011446,-0.075364,0.063918,-0.076779,-0.08312,0.006342,-0.090904,-0.11417,0.023266,-0.092355,-0.107064,0.014709,-0.105718,-0.106271,0.000553,-0.147628,-0.108751,-0.038877,-0.074545,-0.151884,0.077339,,-0.144819,,,-0.140805,,,-0.143458,
APT,2024-04-12,VC,2830000,1000000000,0.283,11.8531,59466522.0,-0.162823,-0.071403,-0.066515,-0.037146,0.007092,-0.10061,-0.136964,-0.162823,-0.175743,-0.008847,-0.166896,-0.259831,-0.049759,-0.210071,-0.191562,-0.094952,-0.09661,-0.229653,-0.070355,-0.159298,-0.219394,-0.102095,-0.117299,-0.228725,-0.096809,-0.131916,-0.198876,-0.132431,-0.066446,-0.205752,-0.101386,-0.104366,-0.135981,-0.09646,-0.039521,-0.15574,-0.080566,-0.075173,-0.141153,-0.080558,-0.060595,-0.174899,-0.053967,-0.120932,,-0.059706,,,-0.089783,,,-0.086828,
SUI,2024-05-03,VC,64363000,10000000000,0.6436,1.121,44071299.0,-0.084137,-0.041251,-0.010701,-0.00531,-0.026221,-0.065676,-0.062735,-0.084137,-0.008118,0.011919,-0.020037,-0.026762,0.077393,-0.104155,-0.022837,0.094698,-0.117535,-0.024799,0.096754,-0.121553,-0.036842,0.082245,-0.119087,-0.098573,0.067628,-0.166201,-0.084567,0.048455,-0.133022,-0.10116,0.080683,-0.181842,-0.112935,0.041721,-0.154655,-0.104639,0.042166,-0.146805,-0.135058,0.05344,-0.188498,-0.200357,0.078388,-0.278745,,0.055042,,,0.134353,,,0.117712,
