symbol,unlock_date,category,unlock_pct_supply,day_offset,date,open,close,volume,quote_volume
ARB,2024-03-16,VC,11.1,-7,2024-03-09,2.1336,2.0962,67668912.3,143839869.25974
ARB,2024-03-16,VC,11.1,-6,2024-03-10,2.0962,2.068,87583497.1,181255513.42993
ARB,2024-03-16,VC,11.1,-5,2024-03-11,2.0679,2.083,108623349.2,224372598.27352
ARB,2024-03-16,VC,11.1,-4,2024-03-12,2.0831,2.0173,102885481.9,206339582.0339
ARB,2024-03-16,VC,11.1,-3,2024-03-13,2.0175,2.1152,168992357.0,362165662.841
ARB,2024-03-16,VC,11.1,-2,2024-03-14,2.1153,2.0155,132983062.4,269195030.84986
ARB,2024-03-16,VC,11.1,-1,2024-03-15,2.0156,1.8879,135415738.5,256732147.60657
ARB,2024-03-16,VC,11.1,0,2024-03-16,1.8882,1.7566,175292131.7,324569103.8667
ARB,2024-03-16,VC,11.1,1,2024-03-17,1.7565,1.7363,144456137.2,247255418.93204
ARB,2024-03-16,VC,11.1,2,2024-03-18,1.7364,1.6232,179355757.9,299482544.17366
ARB,2024-03-16,VC,11.1,3,2024-03-19,1.6231,1.6247,295931377.0,466173354.10298
ARB,2024-03-16,VC,11.1,4,2024-03-20,1.6247,1.7458,244878049.9,405988865.07452
ARB,2024-03-16,VC,11.1,5,2024-03-21,1.7458,1.6843,149134786.4,259206258.90802
ARB,2024-03-16,VC,11.1,6,2024-03-22,1.6842,1.6041,107584385.5,174630490.69258
ARB,2024-03-16,VC,11.1,7,2024-03-23,1.6043,1.5952,68251292.6,110139150.26603
OP,2024-01-31,VC,0.5625,-7,2024-01-24,2.82,2.857,16222234.28,45894072.67267
OP,2024-01-31,VC,0.5625,-6,2024-01-25,2.858,2.937,16449789.1,47184000.68859
OP,2024-01-31,VC,0.5625,-5,2024-01-26,2.938,3.069,23484536.41,71868524.02998
OP,2024-01-31,VC,0.5625,-4,2024-01-27,3.07,3.068,9523296.35,29217966.14408
OP,2024-01-31,VC,0.5625,-3,2024-01-28,3.069,3.029,14931325.67,46477343.69145
OP,2024-01-31,VC,0.5625,-2,2024-01-29,3.029,3.168,16130697.18,49628563.79319
OP,2024-01-31,VC,0.5625,-1,2024-01-30,3.169,3.157,26265974.64,83894582.48794
OP,2024-01-31,VC,0.5625,0,2024-01-31,3.157,2.901,21441170.8,64726417.30878
OP,2024-01-31,VC,0.5625,1,2024-02-01,2.901,2.976,13032832.52,38092003.03362
OP,2024-01-31,VC,0.5625,2,2024-02-02,2.977,3.015,8843271.6,26431627.6049
OP,2024-01-31,VC,0.5625,3,2024-02-03,3.014,2.961,5195871.84,15610078.05114
