asset,basis_bps,ann_funding_bps,ann_basis_bps,ann_total_bps,funding_bps_sum
SILVER,-47.46,3448.06,1915.03,5363.09,94.47
GOLD,-8.9,2617.62,487.23,3104.84,50.2
TSLA,0.41,1964.59,-105.06,1859.53,80.74
NVDA,-40.17,1459.77,-16.54,1443.23,59.99
AMZN,-3.02,1362.5,0.9,1363.4,55.99
GOOGL,19.4,1258.39,14.92,1273.3,51.71
AAPL,0.9,974.36,20.41,994.77,40.04
META,-1.65,1081.13,-96.74,984.39,44.43
MSFT,19.74,598.8,218.47,817.27,24.61
COIN,-37.97,183.77,134.14,317.91,7.55
PLTR,-19.57,63.99,-283.46,-219.48,2.63
