symbol,unlock_date,category,unlock_amount,total_supply,circulating_supply,unlock_pct_supply,unlock_pct_circulating,open_price,avg_daily_volume_usd,pre7_return,pre_return_-7,excess_pre_return_-7,bps_per_day_pre_-7,pre_return_-6,excess_pre_return_-6,bps_per_day_pre_-6,pre_return_-5,excess_pre_return_-5,bps_per_day_pre_-5,pre_return_-4,excess_pre_return_-4,bps_per_day_pre_-4,pre_return_-3,excess_pre_return_-3,bps_per_day_pre_-3,pre_return_-2,excess_pre_return_-2,bps_per_day_pre_-2,pre_return_-1,excess_pre_return_-1,bps_per_day_pre_-1,pre7_excess_return,pre7_bps_per_day,pre7_annualized,return_0,btc_return_0,excess_return_0,bps_per_day_0,annualized_0,return_1,btc_return_1,excess_return_1,bps_per_day_1,annualized_1,return_2,btc_return_2,excess_return_2,bps_per_day_2,annualized_2,return_3,btc_return_3,excess_return_3,bps_per_day_3,annualized_3,return_4,btc_return_4,excess_return_4,bps_per_day_4,annualized_4,return_5,btc_return_5,excess_return_5,bps_per_day_5,annualized_5,return_6,btc_return_6,excess_return_6,bps_per_day_6,annualized_6,return_7,btc_return_7,excess_return_7,bps_per_day_7,annualized_7
ARB,2024-03-16,VC,1110000000,10000000000,3275000000.0,11.1,33.8931,1.8882,255077941.0,-0.115157,-0.017529,-0.039828,-398.28,-0.030746,-0.042954,-429.54,-0.023716,-0.078827,-788.27,-0.054509,-0.090708,-907.08,-0.008624,-0.022419,-224.19,-0.055352,-0.05447,-544.7,-0.115157,-0.066267,-662.67,-0.155213,-221.73,-8.093249,-0.069696,-0.026462,-0.043234,-432.34,-15.780434,-0.080447,-0.085284,0.004837,24.18,0.882693,-0.140345,-0.04196,-0.098386,-327.95,-11.970246,-0.139551,-0.052935,-0.086616,-216.54,-7.903731,-0.075416,-0.132395,0.056979,113.96,4.159487,-0.107986,-0.049706,-0.058281,-97.13,-3.545418,-0.150461,-0.082473,-0.067988,-97.13,-3.545069,-0.155174,-0.106351,-0.048823,-61.03,-2.227551
OP,2024-01-31,VC,24160000,4294967296,893000000.0,0.5625,2.7055,3.157,56424530.0,0.119504,0.013121,5.8e-05,0.58,0.041489,0.039898,398.98,0.088298,0.044924,449.24,0.087943,0.033902,339.02,0.074113,0.069151,691.51,0.123404,0.09534,953.4,0.119504,0.097852,978.52,0.034256,48.94,1.786206,-0.08109,-0.008351,-0.072739,-727.39,-26.549696,-0.057333,-0.01669,-0.040643,-203.22,-7.417383,-0.044979,-0.005075,-0.039904,-133.01,-4.855012,-0.062084,-0.002372,-0.059712,-149.28,-5.448752,-0.051631,-0.006734,-0.044897,-89.79,-3.27747,-0.019005,-0.016623,-0.002382,-3.97,-0.144916,0.053215,-0.013718,0.066933,95.62,3.490062,0.065252,-0.004705,0.069957,87.45,3.191802
SUI,2024-05-03,VC,64363000,10000000000,928000000.0,0.6436,6.9357,1.121,46547279.0,-0.084137,-0.041251,-0.03317,-331.7,-0.010701,0.005367,53.67,-0.00531,0.004905,49.05,-0.026221,-0.032588,-325.88,-0.065676,-0.026913,-269.13,-0.062735,0.023399,233.99,-0.084137,-0.057577,-575.77,-0.002802,-4.0,-0.146104,-0.008118,0.011919,-0.020037,-200.37,-7.313339,-0.026762,0.077393,-0.104155,-520.77,-19.008254,-0.022837,0.094698,-0.117535,-391.78,-14.300112,-0.024799,0.096754,-0.121553,-303.88,-11.091715,-0.036842,0.082245,-0.119087,-238.17,-8.69335,-0.098573,0.067628,-0.166201,-277.0,-10.110547,-0.084567,0.048455,-0.133022,-190.03,-6.936152,-0.10116,0.080683,-0.181842,-227.3,-8.296556
PYTH,2024-05-20,OTC,2500000000,10000000000,3550000000.0,25.0,70.4225,0.3819,23034417.0,-0.130237,-0.039162,-0.073918,-739.18,-0.089936,-0.091457,-914.57,0.021858,-0.030039,-300.39,-0.032559,-0.091959,-919.59,0.005009,-0.007338,-73.38,0.002277,-0.023476,-234.76,-0.130237,-0.119047,-1190.47,-0.219804,-314.01,-11.461209,0.214192,-0.009582,0.223774,2237.74,81.677629,0.214454,0.067719,0.146735,733.68,26.779174,0.21812,0.048317,0.169803,566.01,20.659359,0.153705,0.033646,0.120059,300.15,10.95541,0.136947,0.015758,0.121189,242.38,8.846785,0.159466,0.024431,0.135035,225.06,8.214633,0.153705,0.035498,0.118207,168.87,6.163648,0.171249,0.023798,0.147451,184.31,6.727438
STRK,2024-06-15,VC,64000000,10000000000,728000000.0,0.64,8.7912,0.944,24031247.0,-0.218076,-0.063018,-0.041993,-419.93,-0.031509,-0.035727,-357.27,-0.072139,-0.075451,-754.51,-0.141791,-0.108281,-1082.81,-0.11194,-0.093591,-935.91,-0.181592,-0.173552,-1735.52,-0.218076,-0.185556,-1855.56,-0.150913,-215.59,-7.869035,-0.010593,-0.010918,0.000325,3.25,0.118502,-0.009534,-0.008158,-0.001376,-6.88,-0.251031,-0.157839,-0.00144,-0.156399,-521.33,-19.028567,-0.220339,-0.004024,-0.216315,-540.79,-19.738762,-0.224576,-0.023927,-0.200649,-401.3,-14.647383,-0.231992,-0.026937,-0.205055,-341.76,-12.474173,-0.238347,-0.0285,-0.209848,-299.78,-10.942054,-0.238347,-0.039379,-0.198969,-248.71,-9.077939
JUP,2025-01-31,VC,1000000000,10000000000,1350000000.0,10.0,74.0741,1.0936,121017859.0,0.373226,0.058772,0.047549,475.49,0.219641,0.211591,2115.91,0.322743,0.344203,3442.03,0.411152,0.436585,4365.85,0.407384,0.419901,4199.01,0.368077,0.35191,3519.1,0.373226,0.339798,3397.98,0.363426,519.18,18.95007,-0.051664,0.009541,-0.061205,-612.05,-22.339806,-0.155358,-0.012568,-0.142791,-713.95,-26.059309,-0.16304,-0.029861,-0.133178,-443.93,-16.203359,-0.079005,-0.058156,-0.02085,-52.12,-1.902527,-0.122165,-0.023182,-0.098983,-197.97,-7.225793,-0.191569,-0.057553,-0.134017,-223.36,-8.152671,-0.243416,-0.068645,-0.174771,-249.67,-9.113046,-0.267831,-0.069205,-0.198626,-248.28,-9.062294
ZK,2025-06-17,VC,3675000000,21000000000,5600000000.0,17.5,65.625,0.0486,4152278.0,-0.14587,0.029877,-0.013065,-130.65,-0.033392,-0.018719,-187.19,-0.084359,-0.04262,-426.2,-0.112478,-0.088744,-887.44,-0.094903,-0.09247,-924.7,-0.123023,-0.118567,-1185.67,-0.14587,-0.15896,-1589.6,-0.1559,-222.71,-8.129071,-0.018519,0.011369,-0.029888,-298.88,-10.908984,-0.053498,-0.009876,-0.043622,-218.11,-7.960999,-0.067901,-0.006698,-0.061204,-204.01,-7.446427,-0.106996,-0.008859,-0.098137,-245.34,-8.955014,-0.160494,-0.021744,-0.13875,-277.5,-10.128742,-0.203704,-0.0329,-0.170804,-284.67,-10.390578,-0.078189,-0.043849,-0.034341,-49.06,-1.790622,-0.047325,-0.002463,-0.044862,-56.08,-2.046828
ENA,2025-04-05,OTC,180000000,15000000000,3500000000.0,1.2,5.1429,0.3186,47374951.0,-0.173067,-0.055267,-0.002724,-27.24,-0.040477,-0.01638,-163.8,-0.108199,-0.107007,-1070.07,-0.042034,-0.075635,-756.35,-0.141412,-0.141003,-1410.03,-0.183705,-0.160862,-1608.62,-0.173067,-0.189713,-1897.13,-0.134754,-192.51,-7.026459,0.00408,0.008133,-0.004053,-40.53,-1.479252,-0.132768,0.003904,-0.136673,-683.36,-24.942785,-0.082549,-0.05748,-0.025069,-83.56,-3.050017,-0.135907,-0.048668,-0.087239,-218.1,-7.960529,-0.006591,-0.082808,0.076216,152.43,5.563782,-0.050534,-0.007185,-0.043349,-72.25,-2.637051,-0.009416,-0.043332,0.033916,48.45,1.768467,0.074388,0.002533,0.071855,89.82,3.278398
EIGEN,2025-09-30,VC,86000000,1674203671,400000000.0,5.1368,21.5,1.648,34593911.0,-0.091561,-0.083287,-0.055227,-552.27,-0.01048,-0.016303,-163.03,-0.058467,-0.031642,-316.42,-0.029233,0.0031,31.0,0.041368,0.035484,354.84,0.041919,0.018931,189.31,-0.091561,-0.134212,-1342.12,-0.083574,-119.39,-4.357787,-0.120752,0.019151,-0.139903,-1399.03,-51.064582,-0.07949,0.016805,-0.096296,-481.48,-17.57398,0.080704,0.057336,0.023368,77.89,2.843096,0.158981,0.074582,0.084399,211.0,7.701389,0.195995,0.089762,0.106233,212.47,7.755034,0.131675,0.091179,0.040495,67.49,2.463469,0.178398,0.100909,0.077489,110.7,4.040502,0.194175,0.111396,0.082779,103.47,3.776796
IMX,2024-01-24,VC,36332000,2000000000,975000000.0,1.8166,3.7264,1.8637,6518656.0,-0.106172,-0.018031,-0.024265,-242.65,-0.072076,-0.030107,-301.07,-0.070925,-0.044811,-448.11,-0.079653,-0.08857,-885.7,-0.080516,-0.078627,-786.27,-0.146262,-0.095225,-952.25,-0.106172,-0.065703,-657.03,-0.044694,-63.85,-2.330473,-0.001556,0.008329,-0.009885,-98.85,-3.608207,-0.020282,0.013063,-0.033345,-166.72,-6.085427,0.020229,0.009934,0.010295,34.32,1.252503,0.040457,0.057003,-0.016546,-41.36,-1.509795,0.022697,0.064512,-0.041815,-83.63,-3.052507,0.089607,0.062248,0.027358,45.6,1.664305,0.076675,0.094386,-0.017711,-25.3,-0.923497,0.036916,0.085248,-0.048332,-60.41,-2.205139
